date_booked,check_in,check_out,nights,room_type,booking_source,lead_time,occupancy_rate_at_booking,day_of_week,is_weekend,month,final_price
2023-12-18,2024-02-03,2024-02-09,6,Suite,direct,47,0.8816624488770983,5,1,2,292.46097301256526
2023-03-05,2023-04-09,2023-04-17,8,Suite,booking.com,35,0.8976427327238086,6,1,4,264.57092006066824
2024-04-25,2024-05-23,2024-05-27,4,Deluxe,booking.com,28,0.8417444200483712,3,0,5,129.07786189702645
2024-01-02,2024-01-23,2024-01-28,5,Deluxe,airbnb,21,0.8398992871316525,1,0,1,158.3611218643776
2024-01-16,2024-03-05,2024-03-09,4,Suite,booking.com,49,0.7106238024451841,1,0,3,229.8486428002901
2023-02-25,2023-05-18,2023-05-25,7,Deluxe,booking.com,82,0.8523948856727692,3,0,5,86.97991165167012
2023-10-12,2023-11-11,2023-11-17,6,Standard,direct,30,0.9013873362274925,5,1,11,102.30194056697557
2024-11-03,2025-01-27,2025-01-30,3,Deluxe,airbnb,85,0.8650491068087183,0,0,1,101.63115383229342
2023-05-22,2023-06-02,2023-06-06,4,Deluxe,direct,11,0.5104649053560196,4,0,6,297.71233029332194
2024-12-28,2025-03-13,2025-03-21,8,Deluxe,booking.com,75,0.6285731640670665,3,0,3,121.04137997173306
2024-11-28,2024-12-27,2025-01-01,5,Deluxe,expedia,29,0.6758963932588513,4,0,12,187.23758842703307
2024-10-28,2024-11-25,2024-12-04,9,Suite,airbnb,28,0.5303754079709451,0,0,11,297.25056019177424
2024-03-23,2024-04-12,2024-04-20,8,Suite,booking.com,20,0.7509444070353504,4,0,4,267.42487012190094
2023-12-02,2024-02-29,2024-03-07,7,Suite,expedia,89,0.8517429911758949,3,0,2,157.16009752136148
2024-09-02,2024-10-11,2024-10-15,4,Suite,booking.com,39,0.5750968982697129,4,0,10,263.7150618543399
2024-10-28,2025-01-16,2025-01-22,6,Suite,booking.com,80,0.9331752671893696,3,0,1,186.2601969527169
2024-07-18,2024-09-19,2024-09-26,7,Deluxe,airbnb,63,0.8795030085952968,3,0,9,93.18942541320318
2023-09-30,2023-10-02,2023-10-08,6,Deluxe,direct,2,0.508926132756991,0,0,10,208.98005027233592
2024-12-18,2025-02-02,2025-02-07,5,Suite,airbnb,46,0.8772448322069969,6,1,2,282.01105974961604
2023-11-04,2024-01-04,2024-01-05,1,Suite,airbnb,61,0.7692556070717902,3,0,1,259.82193649385994
2024-09-29,2024-10-28,2024-10-29,1,Deluxe,booking.com,29,0.9042910943074969,0,0,10,141.56890430550618
2023-05-11,2023-07-20,2023-07-21,1,Suite,direct,70,0.8713504739905338,3,0,7,240.16660398725224
2023-04-03,2023-04-04,2023-04-13,9,Standard,booking.com,1,0.5750703696069958,1,0,4,133.6121408784418
2024-08-08,2024-08-13,2024-08-17,4,Deluxe,expedia,5,0.5105570644778139,1,0,8,324.63294776483724
2023-12-23,2024-01-06,2024-01-13,7,Standard,booking.com,14,0.7754182734155025,5,1,1,147.49844305830715
2023-12-20,2024-01-20,2024-01-24,4,Deluxe,expedia,31,0.7400719161162825,5,1,1,216.5527617910184
2023-03-25,2023-06-11,2023-06-20,9,Standard,booking.com,78,0.6146146167153366,6,1,6,131.84234118310863
2024-02-08,2024-03-18,2024-03-20,2,Suite,booking.com,39,0.8397285280393405,0,0,3,223.86265661602005
2023-03-07,2023-05-07,2023-05-13,6,Suite,booking.com,61,0.9218647609173934,6,1,5,196.2744599547224
2024-11-12,2024-12-25,2024-12-30,5,Deluxe,airbnb,43,0.9477195286354136,2,0,12,126.50796507447308
2024-05-10,2024-06-03,2024-06-12,9,Standard,booking.com,24,0.8995763813739939,0,0,6,125.82936572464028
2023-08-28,2023-09-10,2023-09-16,6,Standard,booking.com,13,0.937544971162831,6,1,9,116.95798387699077
2023-10-12,2023-11-30,2023-12-09,9,Suite,direct,49,0.6198724424059857,3,0,11,236.02003445622225
2024-04-09,2024-05-06,2024-05-13,7,Suite,expedia,27,0.6147396010642008,0,0,5,284.6025436572259
2024-03-05,2024-05-22,2024-05-23,1,Deluxe,direct,78,0.7584157605608325,2,0,5,99.88641900374864
2023-11-17,2024-01-27,2024-02-03,7,Suite,airbnb,71,0.7253345958100696,5,1,1,260.9425403631738
2024-05-10,2024-06-09,2024-06-17,8,Standard,airbnb,30,0.7372645689473902,6,1,6,189.53796414536006
2024-03-12,2024-06-06,2024-06-09,3,Deluxe,expedia,86,0.6472569924600078,3,0,6,161.3139142975175
2024-02-21,2024-03-02,2024-03-10,8,Suite,expedia,10,0.8991335264605316,5,1,3,288.46066249247497
2023-11-06,2024-01-18,2024-01-24,6,Deluxe,booking.com,73,0.7918580139317252,3,0,1,122.68472601472612
2024-11-10,2025-01-24,2025-01-27,3,Deluxe,direct,75,0.55682176073463,4,0,1,156.35450810561255
2024-12-29,2025-01-19,2025-01-23,4,Suite,airbnb,21,0.5599196691912154,6,1,1,432.1878751632761
2023-05-16,2023-07-01,2023-07-08,7,Deluxe,direct,46,0.9123890078464397,5,1,7,203.19225947267225
2024-10-07,2024-10-20,2024-10-23,3,Standard,direct,13,0.8041382673226836,6,1,10,118.61258080382926
2024-09-18,2024-10-29,2024-11-04,6,Suite,airbnb,41,0.9392860362945572,1,0,10,185.07031681881986
2023-02-12,2023-04-04,2023-04-11,7,Standard,expedia,51,0.934160853038482,1,0,4,58.50662544975916
2023-03-28,2023-05-01,2023-05-05,4,Standard,airbnb,34,0.5300859741216474,0,0,5,127.25374140488361
2023-09-26,2023-12-07,2023-12-08,1,Deluxe,airbnb,72,0.7397981099975593,3,0,12,122.35736751618886
2023-08-06,2023-09-01,2023-09-08,7,Standard,expedia,26,0.6926493997691627,4,0,9,106.08950371989651
2023-07-06,2023-09-25,2023-10-02,7,Deluxe,airbnb,81,0.6159608865627539,0,0,9,116.96502405918483
2024-02-23,2024-04-05,2024-04-12,7,Deluxe,expedia,42,0.7890280006885908,4,0,4,130.88922802354224
2024-10-26,2024-10-27,2024-10-29,2,Deluxe,airbnb,1,0.6191502116075437,6,1,10,233.2078431870063
2023-08-16,2023-09-23,2023-09-30,7,Suite,direct,38,0.7417465552165629,5,1,9,289.1057074287814
2023-12-12,2024-01-27,2024-02-01,5,Suite,airbnb,46,0.6121470417335346,5,1,1,347.16840356555696
2023-08-30,2023-11-17,2023-11-23,6,Standard,direct,79,0.6685212109110283,4,0,11,60.253121716339166
2024-02-04,2024-05-03,2024-05-07,4,Suite,airbnb,89,0.6390481704261648,4,0,5,183.2071532281129
2024-07-15,2024-10-04,2024-10-11,7,Standard,booking.com,81,0.6059780714456812,4,0,10,73.05480796102623
2023-07-10,2023-08-24,2023-08-27,3,Standard,airbnb,45,0.5999515522074488,3,0,8,148.30510061112523
2024-02-16,2024-04-29,2024-05-04,5,Suite,booking.com,73,0.8715768089016405,0,0,4,161.12188642214312
2024-01-03,2024-02-11,2024-02-15,4,Standard,booking.com,39,0.7700190254959873,6,1,2,125.21729067281004
2024-11-20,2025-01-27,2025-01-29,2,Standard,expedia,68,0.6127490570561134,0,0,1,103.76429077219666
2024-04-26,2024-07-23,2024-07-31,8,Suite,booking.com,88,0.6869976561413045,1,0,7,258.43659569147445
2023-02-22,2023-03-20,2023-03-28,8,Standard,airbnb,26,0.7759775758792562,0,0,3,99.11613723345863
2024-12-16,2025-01-28,2025-02-02,5,Standard,expedia,43,0.6663342357009427,1,0,1,125.36214684177395
2024-05-13,2024-06-08,2024-06-15,7,Suite,expedia,26,0.9240184353004778,5,1,6,375.168837115009
2023-05-01,2023-07-28,2023-08-03,6,Deluxe,expedia,88,0.6215528317435738,4,0,7,155.82570403237304
2023-07-25,2023-08-26,2023-08-31,5,Suite,expedia,32,0.9184017482002385,5,1,8,365.32292746820974
2023-10-07,2023-12-10,2023-12-19,9,Deluxe,airbnb,64,0.8260172923713432,6,1,12,156.25882289274386
2024-05-03,2024-07-06,2024-07-10,4,Suite,booking.com,64,0.8399553159621098,5,1,7,310.44207997475127
2024-02-11,2024-03-29,2024-04-02,4,Deluxe,direct,47,0.5279049669630298,4,0,3,158.98655144201996
2024-11-20,2025-01-02,2025-01-06,4,Deluxe,airbnb,43,0.9336797913333148,3,0,1,138.04112368261536
2023-10-13,2023-12-17,2023-12-24,7,Deluxe,airbnb,65,0.649481586753145,6,1,12,180.0277735200429
2023-11-13,2024-02-01,2024-02-02,1,Suite,direct,80,0.5192713530139885,3,0,2,229.8424120970125
2024-05-21,2024-08-07,2024-08-16,9,Suite,airbnb,78,0.7848183135087341,2,0,8,242.12099882144486
2023-06-01,2023-07-21,2023-07-23,2,Deluxe,booking.com,50,0.8605400177037328,4,0,7,159.58911212324566
2023-10-13,2023-12-16,2023-12-24,8,Deluxe,expedia,64,0.8560367951814003,5,1,12,142.64124615333918
2024-12-27,2025-02-14,2025-02-22,8,Deluxe,booking.com,49,0.6861117268928324,4,0,2,180.62384800988485
2024-03-03,2024-05-12,2024-05-13,1,Deluxe,direct,70,0.7329974319267955,6,1,5,145.41169302292252
2023-01-17,2023-02-21,2023-02-22,1,Standard,direct,35,0.6607080905408288,1,0,2,125.03473580818381
2023-10-30,2023-12-03,2023-12-11,8,Deluxe,booking.com,34,0.5848873440601928,6,1,12,232.66212248409593
2024-08-12,2024-10-26,2024-10-29,3,Standard,airbnb,75,0.7552395687586495,5,1,10,75.59580414483167
2023-03-21,2023-05-01,2023-05-03,2,Suite,airbnb,41,0.7138026093263092,0,0,5,221.64866688017773
2023-07-14,2023-08-28,2023-09-01,4,Standard,airbnb,45,0.672197406631809,0,0,8,144.969655618603
2024-11-30,2024-12-23,2025-01-01,9,Deluxe,expedia,23,0.5741680059780657,0,0,12,203.60152069106653
2023-05-04,2023-05-08,2023-05-09,1,Standard,airbnb,4,0.9340477464529574,0,0,5,100.66429935048947
2023-05-21,2023-08-04,2023-08-12,8,Deluxe,booking.com,75,0.6591216481196569,4,0,8,177.360082120926
2024-09-10,2024-11-10,2024-11-19,9,Standard,direct,61,0.6038318019047394,6,1,11,110.49024400703652
2024-10-16,2024-10-19,2024-10-27,8,Suite,airbnb,3,0.5642705614854853,5,1,10,385.30622235742425
2024-03-05,2024-05-14,2024-05-19,5,Suite,expedia,70,0.5970957565495191,1,0,5,223.78983660087593
2024-11-04,2024-12-31,2025-01-05,5,Standard,direct,57,0.6019343355161039,1,0,12,119.99330341878259
2024-09-14,2024-11-14,2024-11-18,4,Suite,airbnb,61,0.6406265059271665,3,0,11,214.67388122971957
2024-09-15,2024-10-14,2024-10-18,4,Standard,booking.com,29,0.5044438627809951,0,0,10,125.31837459508219
2024-04-26,2024-04-30,2024-05-03,3,Deluxe,airbnb,4,0.6089396101716421,1,0,4,177.78733705492644
2023-05-02,2023-07-29,2023-08-01,3,Suite,booking.com,88,0.6483221967173257,5,1,7,318.02786836710527
2023-02-18,2023-05-05,2023-05-07,2,Suite,airbnb,76,0.941408508329211,4,0,5,151.40731691839952
2024-05-27,2024-06-12,2024-06-13,1,Suite,expedia,16,0.8077248290472511,2,0,6,353.2612663819954
2024-01-25,2024-04-13,2024-04-22,9,Standard,expedia,79,0.5804449745940354,5,1,4,97.55245396353938
2024-08-30,2024-11-05,2024-11-14,9,Standard,expedia,67,0.736202939411609,1,0,11,67.48333453953522
2023-01-29,2023-04-10,2023-04-11,1,Standard,booking.com,71,0.8164757947688739,0,0,4,64.39559952046595
2023-12-19,2024-02-07,2024-02-10,3,Standard,expedia,50,0.5850881400081066,2,0,2,99.16537438300516
2024-09-10,2024-10-22,2024-10-24,2,Standard,airbnb,42,0.8060616896530877,1,0,10,94.98305360269543
2023-06-04,2023-08-09,2023-08-10,1,Standard,airbnb,66,0.5330672416720932,2,0,8,147.4160928992963
2024-11-12,2025-02-09,2025-02-10,1,Standard,expedia,89,0.8983184244041645,6,1,2,84.99304159292454
2024-08-16,2024-10-19,2024-10-26,7,Suite,booking.com,64,0.5456316526818002,5,1,10,278.4863399756582
2023-10-11,2023-11-01,2023-11-06,5,Standard,booking.com,21,0.739109105207987,2,0,11,113.93168533524351
2024-10-12,2025-01-07,2025-01-15,8,Deluxe,airbnb,87,0.9109223465888626,1,0,1,99.97267192319597
2024-01-02,2024-01-14,2024-01-21,7,Deluxe,expedia,12,0.5804275330028522,6,1,1,258.2378405207748
2024-01-06,2024-02-24,2024-03-04,9,Standard,direct,49,0.702869429896323,5,1,2,132.4889087782244
2023-09-13,2023-10-23,2023-10-25,2,Standard,airbnb,40,0.5453087210639883,0,0,10,112.91115764379559
2023-06-05,2023-08-10,2023-08-11,1,Suite,airbnb,66,0.5842119695261943,3,0,8,319.92203465748224
2023-03-04,2023-03-08,2023-03-17,9,Suite,direct,4,0.9328325777074471,2,0,3,244.8927798169468
2024-07-21,2024-09-23,2024-09-29,6,Standard,booking.com,64,0.6940459795797742,0,0,9,85.19724819010669
2023-09-21,2023-10-11,2023-10-18,7,Standard,expedia,20,0.664590725338879,2,0,10,121.82408075506373
2024-05-12,2024-07-20,2024-07-27,7,Suite,booking.com,69,0.8686151619662694,5,1,7,299.832696516021
2024-04-24,2024-06-04,2024-06-12,8,Deluxe,booking.com,41,0.581386824266222,1,0,6,238.6559797727456
2023-01-17,2023-03-01,2023-03-09,8,Suite,direct,43,0.860233452964005,2,0,3,198.66910114898934
2024-10-27,2024-11-12,2024-11-16,4,Suite,expedia,16,0.5951207025813582,1,0,11,303.4630154404021
2024-09-04,2024-10-05,2024-10-06,1,Standard,direct,31,0.7500836008677118,5,1,10,116.62908705699807
2023-11-09,2023-11-16,2023-11-18,2,Standard,direct,7,0.7209959455115563,3,0,11,111.39944601069668
2024-12-22,2025-02-16,2025-02-23,7,Suite,direct,56,0.557591456049717,6,1,2,341.9538708061431
2023-06-08,2023-08-09,2023-08-10,1,Standard,booking.com,62,0.6378166594396574,2,0,8,141.22094303354427
2023-08-18,2023-08-24,2023-09-01,8,Suite,expedia,6,0.630622037470328,3,0,8,472.6981368321767
2024-03-28,2024-05-07,2024-05-08,1,Deluxe,airbnb,40,0.9340654689082437,1,0,5,119.26180427394272
2024-10-12,2025-01-05,2025-01-07,2,Deluxe,expedia,85,0.6436837209177684,6,1,1,161.88472680366183
2023-05-25,2023-06-24,2023-06-25,1,Deluxe,direct,30,0.6156231355015515,5,1,6,297.5086528333674
2023-05-06,2023-05-09,2023-05-14,5,Standard,expedia,3,0.5418181165170619,1,0,5,135.3256560882889
2023-12-18,2024-03-11,2024-03-18,7,Deluxe,booking.com,84,0.6752182124575121,0,0,3,85.56361480727452
2024-05-27,2024-06-04,2024-06-05,1,Deluxe,airbnb,8,0.9435509698677269,1,0,6,193.88613439612135
2024-04-18,2024-05-08,2024-05-15,7,Suite,direct,20,0.7081505418623696,2,0,5,266.72571183203485
2023-05-24,2023-06-10,2023-06-12,2,Standard,booking.com,17,0.831243348437094,5,1,6,172.91584168593462
2024-04-26,2024-07-17,2024-07-26,9,Suite,direct,82,0.7096755369328692,2,0,7,263.6970864613514
2024-09-14,2024-12-02,2024-12-11,9,Deluxe,booking.com,79,0.5204826178038272,0,0,12,150.809404070293
2023-04-16,2023-04-24,2023-04-28,4,Suite,booking.com,8,0.9186457121389786,0,0,4,245.09098158325656
2023-11-23,2024-01-25,2024-01-31,6,Standard,direct,63,0.9330284218275742,3,0,1,101.35493346824562
2024-08-24,2024-09-18,2024-09-19,1,Suite,direct,25,0.6890458681861069,2,0,9,272.40709097732827
2023-06-20,2023-07-07,2023-07-16,9,Deluxe,expedia,17,0.5699619299427039,4,0,7,262.19747309388
2024-07-26,2024-10-16,2024-10-21,5,Suite,direct,82,0.9199379473441294,2,0,10,131.6305074146121
2023-09-03,2023-09-14,2023-09-22,8,Deluxe,airbnb,11,0.8500592365633208,3,0,9,155.07706170389778
2023-10-13,2023-10-15,2023-10-22,7,Suite,expedia,2,0.9290644120980003,6,1,10,265.15337326499696
2024-11-29,2025-01-08,2025-01-16,8,Suite,booking.com,40,0.51459703832931,2,0,1,343.9354483075897
2023-05-16,2023-07-21,2023-07-26,5,Suite,booking.com,66,0.7962368598031073,4,0,7,290.3236324573803
2023-09-22,2023-11-08,2023-11-11,3,Deluxe,airbnb,47,0.5585212259544351,2,0,11,141.1869141658368
2024-06-18,2024-08-07,2024-08-13,6,Standard,expedia,50,0.7736719013716231,2,0,8,125.85498761776742
2024-08-31,2024-09-22,2024-09-25,3,Deluxe,expedia,22,0.8454293718099949,6,1,9,184.4122164015112
2023-08-10,2023-11-06,2023-11-11,5,Deluxe,expedia,88,0.7846904390338796,0,0,11,99.47200530452243
2023-02-24,2023-03-14,2023-03-16,2,Deluxe,airbnb,18,0.5386005430830237,1,0,3,173.22415781604508
2023-07-22,2023-09-07,2023-09-08,1,Deluxe,direct,47,0.8958592238129246,3,0,9,112.44213540348974
2024-10-07,2024-12-30,2025-01-04,5,Deluxe,booking.com,84,0.6073495834942133,0,0,12,133.80181151090082
2023-07-17,2023-09-28,2023-10-07,9,Standard,airbnb,73,0.5729722813972983,3,0,9,65.7879687311674
2024-04-22,2024-07-02,2024-07-10,8,Suite,airbnb,71,0.5330230711291554,1,0,7,325.23672886785675
2023-08-25,2023-09-10,2023-09-17,7,Deluxe,airbnb,16,0.6970176751997168,6,1,9,201.35890161449083
2023-01-13,2023-03-21,2023-03-24,3,Deluxe,direct,67,0.8499801281735601,1,0,3,102.25876113464992
2023-10-09,2023-12-08,2023-12-17,9,Deluxe,direct,60,0.8312200887049563,4,0,12,135.72532817454555
2024-10-14,2024-12-09,2024-12-17,8,Suite,booking.com,56,0.7890627593043249,0,0,12,244.4780988300501
2024-06-06,2024-06-14,2024-06-16,2,Deluxe,booking.com,8,0.6431340845512689,4,0,6,256.91698302506506
2023-11-30,2024-02-24,2024-03-01,6,Standard,airbnb,86,0.7386670134696156,5,1,2,104.09698347008424
2023-07-16,2023-09-29,2023-10-07,8,Deluxe,direct,75,0.5105947356620184,4,0,9,151.54992191534788
2024-03-19,2024-04-26,2024-05-04,8,Suite,booking.com,38,0.7129672160809716,4,0,4,238.9061858979553
2024-11-13,2025-01-25,2025-01-31,6,Suite,direct,73,0.6813082641117789,5,1,1,283.79169073892456
2024-09-11,2024-10-21,2024-10-25,4,Standard,airbnb,40,0.6975493035926121,0,0,10,102.87351793685342
2023-08-24,2023-09-22,2023-09-29,7,Standard,airbnb,29,0.5438147109262783,4,0,9,106.54108695066567
2023-10-25,2023-12-25,2023-12-29,4,Deluxe,direct,61,0.7515850116863585,0,0,12,137.22904208611504
2024-08-24,2024-10-27,2024-10-31,4,Deluxe,booking.com,64,0.6104836243674983,6,1,10,150.2852298443871
2024-05-04,2024-07-19,2024-07-20,1,Deluxe,airbnb,76,0.5200814984831187,4,0,7,184.0719621745317
2024-11-13,2025-01-09,2025-01-16,7,Standard,booking.com,57,0.5263643731623068,3,0,1,117.07404141890427
2024-08-30,2024-09-10,2024-09-16,6,Suite,airbnb,11,0.788557844013758,1,0,9,266.9012810248683
2023-10-24,2023-12-28,2024-01-03,6,Suite,airbnb,65,0.8985316983453238,3,0,12,199.92286707878796
2023-03-11,2023-03-28,2023-04-01,4,Deluxe,booking.com,17,0.524073249419062,1,0,3,178.72956762563268
2024-09-29,2024-11-17,2024-11-20,3,Deluxe,direct,49,0.5800530310034991,6,1,11,181.43034308556085
2024-06-06,2024-07-12,2024-07-18,6,Suite,direct,36,0.6748873123423283,4,0,7,372.2712038498353
2024-02-21,2024-03-06,2024-03-15,9,Standard,direct,14,0.6048185483654556,2,0,3,107.12235143897685
2024-03-28,2024-04-12,2024-04-20,8,Standard,airbnb,15,0.5574511298149795,4,0,4,133.9907820424131
2023-07-28,2023-09-12,2023-09-13,1,Standard,expedia,46,0.5993823604303903,1,0,9,100.33072706206023
2023-06-16,2023-07-09,2023-07-13,4,Standard,airbnb,23,0.7864599675509004,6,1,7,159.44166735295133
2024-08-05,2024-10-29,2024-11-06,8,Suite,expedia,85,0.8883728450171028,1,0,10,161.68815139494268
2023-02-01,2023-04-05,2023-04-10,5,Standard,direct,63,0.6690395807017555,2,0,4,67.52260680874808
2023-11-27,2024-01-12,2024-01-13,1,Suite,expedia,46,0.65673040479772,4,0,1,284.05305904004535
2023-05-08,2023-06-06,2023-06-14,8,Suite,expedia,29,0.566382692776347,1,0,6,410.83963875148095
2024-03-04,2024-03-19,2024-03-21,2,Deluxe,airbnb,15,0.6402043860572175,1,0,3,180.9426658547659
2024-09-06,2024-11-08,2024-11-12,4,Standard,direct,63,0.8317562404175292,4,0,11,71.41784564406912
2023-03-31,2023-06-03,2023-06-06,3,Standard,airbnb,64,0.6322057559529439,5,1,6,155.07141618034547
2023-10-21,2023-11-22,2023-11-26,4,Standard,expedia,32,0.822111809497996,2,0,11,82.18446398359907
2024-08-17,2024-09-11,2024-09-14,3,Deluxe,booking.com,25,0.93691719166362,2,0,9,123.67294326209354
2023-01-16,2023-04-15,2023-04-19,4,Standard,direct,89,0.5257878329999147,5,1,4,98.65581300782165
2023-06-12,2023-08-06,2023-08-13,7,Deluxe,direct,55,0.6345552048112824,6,1,8,245.96064366355054
2023-12-09,2024-01-10,2024-01-16,6,Deluxe,expedia,32,0.8734919157727594,2,0,1,142.8268841225288
2024-05-04,2024-06-22,2024-06-28,6,Suite,booking.com,49,0.9261219369481921,5,1,6,322.8958427357475
2023-10-28,2023-12-23,2023-12-25,2,Standard,direct,56,0.7324965069879847,5,1,12,106.55537637605093
2023-11-10,2024-01-17,2024-01-26,9,Deluxe,direct,68,0.7880313371916428,2,0,1,129.27380245303397
2024-04-04,2024-06-11,2024-06-19,8,Deluxe,expedia,68,0.5489985252937134,1,0,6,184.99165136740223
2024-07-20,2024-08-07,2024-08-16,9,Suite,booking.com,18,0.5140488429992984,2,0,8,460.55655101634215
2024-10-22,2024-11-05,2024-11-10,5,Deluxe,direct,14,0.7627755877023948,1,0,11,148.30556259205378
2024-02-16,2024-02-23,2024-02-27,4,Suite,direct,7,0.6196261472280726,4,0,2,374.11359413026247
2024-07-10,2024-07-23,2024-07-27,4,Standard,airbnb,13,0.5676622584958156,1,0,7,195.06963280894195
2023-12-16,2024-02-15,2024-02-24,9,Standard,direct,61,0.6424399706654732,3,0,2,108.35963253826945
2024-05-06,2024-06-22,2024-06-29,7,Deluxe,airbnb,47,0.7220599262292137,5,1,6,251.12024725234448
2024-07-23,2024-09-28,2024-10-06,8,Standard,airbnb,67,0.9263588169737755,5,1,9,81.08567779135805
2024-08-14,2024-09-05,2024-09-12,7,Deluxe,direct,22,0.5396653596475103,3,0,9,165.5173283262546
2024-06-25,2024-08-23,2024-08-26,3,Standard,booking.com,59,0.817456451684689,4,0,8,141.1204417003971
2024-11-13,2025-01-12,2025-01-15,3,Deluxe,expedia,60,0.506580545569014,6,1,1,215.2443808870524
